CallNumber,Author,Title,ISBN,PubName,PubYear
E 159 Uni,United States. National Park Servie.,"Founders and frontiersmen : histori plaes ommemorating early nationhood and the westward movement, 1783-1828.",,USGPO,1968
E 16 Arm,"Armillas, P.",Program of the history of Amerian Indians /,,Pan Amerian Union,1958
E 16 Arm,"Armillas, P.",Program of the history of Amerian Indians /,,Pan Amerian Union,1960
E 16 Han,"Hanke, Lewis.",Do the Amerians have a ommon history A ritique of the Bolton theory /,,Knopf,1964
E 16 Ho,"Hokett, H. .",The ritial method in historial researh and writing /,,Mamillan,1955
E 16 Kra,"Kraus, M.",A history of Amerian history /,,Farrar,1937
E 16 San,"Sanders, J. B.",Historial interpretations and Amerian historianship /,,Antioh P,1966
E 160 BOO,"Boorstin, Daniel J. 1914-2004. (Daniel Joseph),",An Amerian primer /,,University of hiago P,1966
E 160 BOO,"Boorstin, Daniel J. 1914-2004. (Daniel Joseph),",An Amerian primer /,9780452009226;0452009227,New Amerian Library,1985
E 160 Bla,"Blake, Nelson Manfred, 1908-1996",A history of Amerian life and thought /,,MGraw-Hill,1963
E 160 Boo,"Boorstin, Daniel J. 1914-2004. (Daniel Joseph),",Ameria and the Image of Europe : Refletions on Amerian Thought /,,Meridian Books,1960
E 160 Boo,"Boorstin, Daniel J. 1914-2004. (Daniel Joseph),",An Amerian primer /,,U of hiago P,1966
E 160 Boy,"Boyd, M.",Amerian ivilization : an introdution to the soial sienes /,,Allyn and Baon,1964
E 160 Boy,"Boyd, W. K.",Amerian studies in honor of William Kenneth Boyd /,,Duke UP,1940
E 160 ar,"arson, Gerald, 1899-1989",The polite Amerians : 300 years of more or less good behaviour /,,Mamillan,1967
E 160 ha,"handler, Joan M. 1930- (Joan Mary),","Life, liberty and the pursuit of happiness : a soial history of the United States of Ameria in douments /",,OUP,1971
E 160 oy,"oyle, D. .",Breakthrough to the Great Soiety /,,Oeana Publiations,1965
E 160 Fri,"Friedman, L. J.",Inventors of the Promised Land /,9780394472638;0394472632,Knopf,1975
E 160 Fur,"Furnas, J. .",The Amerians : a soial history of the United States 1587-1914 /,,Longman,1970
E 160 Kou,"Kouwenhoven, J. A.","The beer an by the highway : essays on what's ""Amerian"" about Ameria /",,Doubleday,1961
E 160 Nev,"Nevins, Allan, 1890-1971.",Ameria through British eyes /,,OUP,1948
E 160 New,Newberry Library onferene on Quantitative and Soial Siene Approahes in Early Amerian History hiago) (1977 :,The Newberry papers in family and ommunity history : thirteen papers presented at the onferene.,,Newberry Library,1977
E 160 Nye,"Nye, Russel B. 1913- (Russel Blaine),",This almost hosen people : essays in the history of Amerian ideas /,,Mihigan State UP,1966
E 160 Odo,"O'Donovan, P.",The United States /,,Time Inorporated,1965
E 160 PIO,,"Amerian reformers, 1870-1920 : progressives in word and deed /",9780742527621;074252762X;9780742527638;0742527638,Rowman & Littlefield Publishers,2006
