Viz,Source,Dimensionality,FormatofPC,Secondary,Layout,Layout Details,Orientation
Disk Tree,thumbs100png/EdChi1998.png,2D,Node-link,,Radial,,
Distance Encoded Tree,thumbs100png/Lee2009.png,2D,Node-link,,Linear,,
DocuBurst,thumbs100png/Collins2009.png,2D,Adjacent,Adjoined by a side,Radial,,Top-down
Double Tree,thumbs100png/Culy2010.png,2D,Node-link,,Linear,,
Drawer Trees,thumbs100png/Yang2014.png,2D,Contained,Tightly nested,Shape-based,Rectangle,Left-right / Right-left
Dynamic Tree Layout,thumbs100png/Moen1990.png,2D,Node-link,,Linear,,
Dynamically Blended Tree Layout,thumbs100png/Wilson1999.png,2D,Node-link,,Radial,,Left-right
Edge Equalized Treemap,thumbs100png/Kobayashi2012.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Eichhorn-Tree,thumbs100png/Eichhorn2006.png,2D,Overlap,Loosely packed,Balloon,,
Elastic Hierarchies,thumbs100png/Zhao2005.png,2D,Hybrid: Node-link+Contained,,Linear,,
Elastic Tree,thumbs100png/Yan2021.png,2D,Node-link,,Linear,,
Elevated City Map,thumbs100png/Steinbruckner2010.png,3D,Adjacent,Joined by a side,Shape-based,Geo,Top-down
Ellimaps,thumbs100png/Otjacques2007.png,2D,Contained,Loosely packed,Shape-based,Ellipse,
Embedded Spatiotemporal Hierarchies,thumbs100png/Hadlak2010.png,2D,Contained+Node-link,Loosely packed,Shape-based,Geo,
EncCon Tree 2D,thumbs100png/Nguyen2004.png,2D,Node-link,,Hybrid: Balloon+Shape-based,Rectangle,
EncCon Tree 3D,thumbs100png/Huang2007.png,3D,Contained,Loosely packed,Shape-based,Rectangle,
Enhanced Radial Space-Filling Layout,thumbs100png/Jia2009.png,2D,Adjacent,Adjoined by a side,Radial,,
Equal-Height Treemap,thumbs100png/Wittenburg2018.png,2D,Contained,Tightly nested,Shape-based,Rectangle,
Expandable Tree,thumbs100png/Bereiter1999.png,2D,Hybrid: Contained+Overlap,,Shape-based,Rectangle,
Exploded Treemaps,thumbs100png/Luboschik2007.png,3D,Hybrid: Node-link+Contained,,Hybrid: Linear+Shape-based,Rectangle,
Extended Grid Embedding,thumbs100png/Youn1988.png,2D,Node-link,,Angle-based,,
Fan Chart,thumbs100png/Draper2008.png,2D,Adjacent,Adjoined by a side,Radial,,
Fan-shaped Tree Visualization,thumbs100png/Halachmi2000.png,2D,Node-link,,Shape-based,,
FanLens,thumbs100png/Lou2008.png,2D,Adjacent,Adjoined by a side,Radial,Circular/fan,
FastRings,thumbs100png/Rusu2007.png,2D,Node-link,,Balloon,,
Fisheye Outline Tree,thumbs100png/Demian2006.png,2D,Adjacent,Adjacent to each other,Indented,,
Fisheye Tree View,thumbs100png/Tominski2006.png,2D,Node-link,,Indented,,
Flexible Trees,thumbs100png/Sadeghi2016.png,2D,Adjacent,Adjoined by a side,Radial,,
FlexTree,thumbs100png/Song2002.png,2D,Node-link,,Linear,,
