child,parent,description
E183-G-2010,E,The South Asia story : the first sixty years of U.S. relations with India and Pakistan 
E748-H-2013,E,Alger Hiss
E467-P-2013,E,The Appomattox generals : the parallel lives of Joshua L.  Chamberlain
E475-C-2013,E,Gettysburg : the final fury 
E184-K-2013,E,A hundred thousand white stones : a memoir 
E612-G-2013,E,Surviving Andersonville : one prisoner's recollections of the Civil War's most notorious camp 
E866-B-2013,E,Young Jerry Ford : athlete and citizen 
E907-A-2013,E,The center holds : Obama and his enemies 
E470-C-2013,E,Confederate generals in the trans-Mississippi : essays on America's Civil War 
E621-H-2013,E,Marrow of tragedy : the health crisis of the American Civil War 
E267-O-2013,E,The men who lost America : British leadership
E169-E-2013,E,Across the pond : an Englishman's view of America 
E277-C-2013,E,Choosing sides : loyalists in revolutionary America 
E847-L-2013,E,Lyndon B. Johnson: pursuit of populism
E646-H-2013,E,The Civil War in 50 objects 
E468-C-2013,E,Junius and Albert's adventures in the Confederacy : a Civil War odyssey 
E169-J-2013,E,St. James encyclopedia of popular culture 
E467-S-2013,E,Custer's road to disaster : the path to Little Bighorn 
E467-S-2013,E,Fanny & Joshua : the enigmatic lives of Frances Caroline Adams & Joshua Lawrence Chamberlain 
E183-W-2013,E,The China choice : why we should share power 
E184-T-2013,E,Eurasian : mixed identities in the United States
E184-B-2013,E,The new face of America : how the emerging multiracial
E806-P-2013,E,Roosevelt's centurions : FDR and the commanders he led to victory in World War II 
E757-G-2013,E,Edith Kermit Roosevelt : creating the modern first lady 
E49-P-2013,E,A peculiar mixture : German-language cultures and identities in eighteenth-century North America 
E169-G-2013,E,"Golden door+""To America with love "
E467-M-2013,E,Treasures of the Civil War : legendary leaders who shaped a war and a nation 
E169-C-2013,E,The longest road : overland in search of America from Key West to the Arctic Ocean 
E208-C-2013,E,A short history of the American Revolutionary War 
E183-U-2013,E,U.S.-India security relations : engagement and strategic perspectives 
E477-M-2013,E,The Battle of West Point : Confederate triumph at Ellis Bridge 
E470-D-1968,E,I rode with Stonewall : being chiefly the war experiences of the youngest member of Jackson's staff from the John Brown raid to the hanging of Mrs. Surratt 
E616-S-2013,E,The immortal 600 : surviving civil war Charleston and Savannah 
E415-W-2013,E,Ecstatic nation : confidence
