child,parent,description
JX1954-R-1992,JX,The new world order : a perspective on the post-Cold War era 
E876-F-1987,E,The octopus eagle
E876-F-1987,E,The octopus eagle : an inside account of Iranscam 
JQ1849-S-2004,JQ,The old social classes and the revolutionary movements of Iraq : a study of Iraq's old landed and commercial classes and of its Communists
JQ1825-S-1982,JQ,The old social classes and the revolutionary movements of Iraq : a study of Iraq's old landed and commercial classes and of its Communists
E872-P-1984,E,The other side of the story 
JX4084-S-1991,JX,The other walls : the Arab-Israeli peace process in a global perspective 
JX4084-N-1991,JX,The Palestine Liberation Organization : from armed struggle to the Declaration of Independence 
JX4084-Y-1970,JX,The Palestine question and international law 
E183-B-1992,E,The passionate attachment : America's involvement and Israel
JQ1825-B-1957,JQ,The politics of Israel : the first decade of statehood 
E183-B-1966,E,The prisoners of Algiers : an account of the forgotten American-Algerian war 1785-1797 
E183-B-1966,E,The prisoners of Algiers : an account of the forgotten American - Algerian war
JS7006-S-1973,JS,The provincial government of the Mughals
E840-N-1980,E,The real war 
E183-R-1986,E,The Red Army on Pakistan's border : policy implications for the United States 
JX1246-S-1996,JX,The scourging of Iraq : sanctions
DS318-R-1990,DS,The secular miracle : religion
JQ1825-O-1983,JQ,The unJewish state : the politics of Jewish identity in Israel 
JC49-A-1981,JC,The social contract and the Islamic state 
JQ3824-A-1991,JQ,The state and public policies in Egypt since Sadat 
JQ3981-B-1989,JQ,The Sudan political service 1902-1952 : a preliminary register of second careers 
JQ1825-K-1990,JQ,The Syrian Social Nationalist Party : its ideology and early history 
E184-K-1975,E,The Syrian-Lebanese in America ; a study in religion and assimilation 
E876-U-1987,E,"Report of the President's Special Review Board+""The Tower Commission report : the full text of the President's Special Review Board "
JX1977-U-1996,JX,The United Nations and the Iraq-Kuwait conflict
E183-S-1981,E,The United States and the Palestinians 
E183-G-1989,E,The United States and Iran
E183-B-1993,E,The United States and Israel : the limits of the special relationship 
E183-L-1985,E,The United States and Saudi Arabia : ambivalent allies 
E183-T-1951,E,The United States and Turkey and Iran 
JQ559-N-1994,JQ,The vanguard of the Islamic revolution : the Jamaʻat-i Islami of Pakistan 
JQ629-J-1994,JQ,The vanguard of the Islamic revolution : the Jamaʻat-i Islami of Pakistan 
JQ3898-J-1982,JQ,The Wafd
E335-C-1971,E,The wars in Barbary ; Arab piracy and the birth of the United States Navy.
JQ1780-L-1980,JQ,Theory and practice in medieval Persian government 
JN1088-T-1998,JN,Trial by conspiracy 
JK468-G-1993,JK,Trail of the octopus : from Beirut to Lockerbie--inside the DIA 
E814-C-1990,E,Truman and Israel 
E183-G-1991,E,U.S. foreign policy and the shah : building a client state in Iran 
E183-U-1978,E,U.S. involvement in Iran : Part one
JX1705-M-1977,JX,Uncertain greatness : Henry Kissinger and American foreign policy 
E840-A-1992,E,Under fire : an American story 
JX4475-A-1992,JX,United Nations Conciliation Commission for Palestine
JX1977-U-1978,JX,United Nations Resolutions on Palestine and the Arab-Israeli Conflict
JX1977-U-1979,JX,United Nations resolutions on Palestine : and the Arab Israeli conflict
JX1977-U-1981,JX,United Nations resolutions on Palestine and the Arab-Israeli conflict
JX1977-H-1975,JX,United Nations Resolutions on Palestine and the Arab-Israeli conflict
JX1977-H-1973,JX,United Nations resolutions on Palestine
F2372-G-1958,F,Wai-Wai : through the forests north of the Amazon 
E183-B-1970,E,Western window in the Arab world 
JX5419-W-1983,JX,Witness of war crimes in Lebanon 
E183-R-1987,E,Witness : from the Shah to the secret arms deal : an insider's account of U.S. involvement in Iran 
E840-A-1982,E,Years of upheaval 
E183-L-1992,E,Yellow ribbon : the secret journal of Bruce Laingen 
PR6052-T-2001,PR,To the Hermitage 
F591-S-2006,F,Blood and thunder : an epic of the American West 
E269-S-2006,E,Rough crossings : Britain
FICTre-S-2006,FIC,The darkness of Wallis Simpson : and other stories 
FICTol-S-2006,FIC,A fraction of the whole 
F1054-G-2009,F,Québec City.
E842-B-2007,E,Four days in November : the assassination of President John F. Kennedy 
PS3608-L-2009,PS,The Lazarus Project 
PS3608-P-2007,PS,Plea of insanity 
PS3525-C-2007,PS,The castle in the forest : a novel 
FICPat-C-2007,FIC,Season of the machete 
PG3326-B-1995,PG,"Besy. English+""Demons : a novel in three parts "
FICCus-B-1995,FIC,Treasure of Khan 
PS3555-B-1995,PS,Motor mouth 
PS3535-B-,PS,Indignation 
FICBan-B-,FIC,Kepler 
PR3714-T-2003,PR,The life and opinions of Tristram Shandy
PT2361-F-2002,PT,"Fräulein von Scuderi+""Mademoiselle de Scudéri : a tale of the times of Louis XIV "
PR6123-T-2004,PR,Tamburlaine must die 
PS3619-D-2010,PS,The defector 
JZ6385-F-2007,JZ,The war of the world : history's age of hatred 
PT2635-R-2002,PT,"Radetzkymarsch. English+""The Radetzky march "
PR6005-U-2002,PR,Under western eyes 
PS3568-E-2006,PS,Everyman 
PR9369-B-2004,PR,The blood-dimmed tide 
FICCus-B-2004,FIC,Atlantis found 
FICCla-B-2004,FIC,Laced : a Regan Reilly mystery 
FICCus-B-2004,FIC,Blue gold 
FICMal-B-2004,FIC,The fixer 
PG3326-P-2008,PG,Crime and punishment : a novel in six parts with epilogue 
FICSma-P-2008,FIC,Bedazzled 
E169-P-2000,E,I'm a stranger here myself : notes on returning to America after twenty years away 
PS3569-B-2000,PS,Besieged 
PR9619-S-2008,PR,The slap 
PS3553-N-2006,PS,Next : a novel 
PS3566-A-2001,PS,Along came a spider 
PR6063-L-2010,PR,Let the great world spin 
PS2472-M-2003,PS,McTeague : a story of San Francisco 
PR9369-D-2003,PR,Disgrace 
E118-D-2005,E,The last voyage of Columbus : being the epic tale of the great captain's fourth expedition
E99-C-2007,E,House of rain : tracking a vanished civilization across the American Southwest 
F1219-A-2004,F,Cities of blood : voyages through time 
F1219-L-2006,F,Ancient Mexico : the history and culture of the Maya
JQ1830-D-1998,JQ,The Jewish state : a century later 
E902-H-2002,E,How to build a new Iraq after Saddam 
JZ1480-H-2002,JZ,Unholy wars : Afghanistan
JV8739-B-2006,JV,Citizens abroad : emigration and the state in the Middle East and North Africa 
JQ1841-Y-1997,JQ,The remaking of Saudi Arabia : the struggle between King Saʻud and Crown Prince Faysal
E183-A-1993,E,Jordan
JX238-M-1993,JX,The Iran-United States Claims Tribunal : the first ten years
F1233-H-1995,F,A Black corps d'élite : an Egyptian Sudanese conscript battalion with the French Army in Mexico
JQ1840-H-1999,JQ,All in the family : absolutism
HD9576-B-2003,HD,Sleeping with the devil : how Washington sold our soul for Saudi crude 
JC49-W-1998,JC,Islamic political thought 
JC328-F-1995,JC,Coping with the state : political conflict and crime in the Ottoman Empire
JC49-B-2001,JC,The history of Islamic political thought : from the prophet to the present 
JQ3898-K-1999,JQ,In the guise of democracy : governance in contemporary Egypt 
E903-D-2002,E,Dissent from the homeland : essays after September 11 
JQ3831-S-1995,JQ,The State and its servants : administration in Egypt from Ottoman times to the present 
JQ1758-T-1990,JQ,Tribes and state formation in the Middle East 
E183-G-2002,E,US. policy toward Iraq 
JQ1830-H-1998,JQ,Muslim Palestine : the ideology of Ḥamās 
JC49-S-2003,JC,Liberalism and the contestation of Islamic sovereignty 
JV8739-S-1984,JV,International migration for employment in the Middle East : an introductory bibliography 
JV8977-F-1982,JV,The geographical interpretation of international migration : a case study of the Maghreb 
HV6435-T-2003,HV,Classifying evil : Bush Administration rhetoric and policy toward rogue regimes 
JC599-K-1993,JC,Kuwait : closes all human rights organizations.
FICHig-K-1993,FIC,Ripley's game 
JC571-H-1990,JC,The Human rights reader 
JA79-H-,JA,Ethics in hard times 
E886-A-2005,E,My life : the early years. V. 1 
PQ3979-R-1993,PQ,Le Rocher de Tanios : roman 
E840-A-2013,E,Lessons from a diplomatic life : watching flowers from horseback 
JC31-A-1996,JC,"Imagined communities. Français+""L'Imaginaire national : réflexions sur l'origine et l'essor du nationalisme "
JC599-B-1986,JC,Ben Barka vingt ans après : les droits de l'homme au Maroc.
JV51-P-2001,JV,Postcolonial discourses : an anthology 
JV51-C-2004,JV,Discours sur le colonialisme ; suivi du
JQ3198-G-2003,JQ,Dangerous alliances : civil society
JC381-G-1998,JC,"Structure du sérail. English+""The sultan's court : European fantasies of the East "
JV51-M-1985,JV,Portrait du colonisé
JV51-M-1974,JV,"Portrait du colonisé. English+""The colonizer and the colonized "
E184-S-2000,E,Out of place : a memoir 
E885-S-2004,E,From Oslo to Iraq and the roadmap 
JC93-A-2007,JC,Imperial ideology and political thought in Byzantium (1204-1330) 
JC66-D-2006,JC,Arsinoitēs Nomos : administration of the Fayum under Roman Rule 
DS325-Y-1969,DS,Excavations at Godin Tepe: first progress report 
