lccparent,lccchild,lcccaption,dcchild,dccaption
F,F 2661-2699,Paraguay,918.92,Paraguay--description & travel
F,F 2661-2699,Paraguay,989.2,Paraguay
F,F 2701-2799,Uruguay,918.95,Uruguay--description & travel
F,F 2701-2799,Uruguay,989.5,Uruguay
F,F 2801-3021,Argentina,918.2,Argentina--description & travel
F,F 2801-3021,Argentina,982,Argentina
F,F 3031+,Falkland Islands,919.711,Falkland Islands (Islas Malvinas)--description & travel
F,F 3031+,Falkland Islands,997.11,Falkland Islands (Islas Malvinas)
F,F 3031-3031.5,Falkland Islands,919.711,Falkland Islands (Islas Malvinas)--description & travel
F,F 3031-3031.5,Falkland Islands,997.11,Falkland Islands (Islas Malvinas)
F,F 3051-3285,Chile,918.3,Chile--description & travel
F,F 3051-3285,Chile,983,Chile
F,F 3301-3359,Bolivia,918.4,Bolivia--description & travel
F,F 3301-3359,Bolivia,984,Bolivia
F,F 3401-3619,Peru,918.5,Peru--description & travel
F,F 3401-3619,Peru,985,Peru
F,F 3701-3799,Ecuador,918.66,Ecuador--description & travel
F,F 3701-3799,Ecuador,986.6,Ecuador
LCC,G,Geography (General),910 - 912,Geography & travel
G,GA,Mathematical geography. Cartography,526,Mathematical geography
G,GB,Physical geography,551.4 - 551.45,Geomorphology
G,GC,Oceanography,551.46 - 551.47,Oceanography
G,GE,Environmental sciences,333.7 - 333.709,Natural resources & energy
G,GF,Human ecology. Anthropogeography,304 - 304.2,Factors affecting social behavior; Human ecology
G,GN,Anthropology,302.3 - 302.4,Social interaction
G,GN,Anthropology,305,Social groups
G,GN,Anthropology,306.3,Economic institutions
G,GN,Anthropology,306.8,Marriage & family
G,GN,Anthropology,599.9,Physical anthropology
G,GR,Folklore,398.2 - 398.4,Folk literature
G,GR,Folklore,398.8,Rhymes & rhyming games
G,GT,Manners and customs (General),390 - 394,"Customs, etiquette & folklore"
G,GV,Recreation. Leisure,790,"Sports, games & entertainment"
G,GV,Recreation. Leisure,796,Athletic & outdoor sports & games
G,GV,Recreation. Leisure,796.4,"Weight lifting, track & field, gymnastics"
G,GV,Recreation. Leisure,797,Aquatic & air sports
GV,GV 1019.2-1038.2,Motor sports,796.7,Driving motor vehicles
GV,GV 1040-1059,Cycling. Bicycling,796.6,Cycling & related activities
GV,GV 1060.5-1098,Track and field athletics,796.42,Track & field
GV,GV 1100-1150.9,Fighting sports. Martial arts,796.8,Combat sports
GV,GV 1151-1190,Shooting,799.3,Shooting other than game
GV,GV 1199-1570,Games and amusements,793,Indoor games & amusements
GV,GV 1199-1570,Games and amusements,794,Indoor games of skill
GV,GV 1199-1570,Games and amusements,795,Games of chance
