parent,child,caption
F,F 852-854,Pacific Northwest. Columbia River & Valley.
F,F 852-854,Pacific Northwest. Columbia River & Valley.
F,F 852-854,Pacific Northwest. Columbia River & Valley.
F,F 856-870,California
F,F 856-870,California
F,F 871-885,Oregon
F,F 871-885,Oregon
F,F 886-900,Washington
F,F 886-900,Washington
F,F 901-951,Alaska
F,F 901-951,Alaska
F,F 951,Bering Sea and Aleutian Islands
F,F 951,Bering Sea and Aleutian Islands
F,F 965,Territories of the United States (General)
F,F 970,Insular possessions of the United States (General)
F,F 975,Central American; West Indian
F,F 1001-1140,British America; Canada
F,F 1030; F 1038,New France and Acadia; 1600-1763
F,F 1030; F 1038,New France and Acadia; 1600-1763
F,F 1035.8,Maritime provinces. Atlantic coast of Canada
F,F 1035.8,Maritime provinces. Atlantic coast of Canada
F,F 1036-1040,Nova Scotia. Acadia
F,F 1036-1040,Nova Scotia. Acadia
F,F 1041-1045,New Brunswick
F,F 1041-1045,New Brunswick
F,F 1046-1049.7,Prince Edward Island
F,F 1046-1049.7,Prince Edward Island
F,F 1050,St. Lawrence Gulf; River and Valley (General)
F,F 1050,St. Lawrence Gulf; River and Valley (General)
F,F 1051-1055,Quebec
F,F 1051-1055,Quebec
F,F 1056-1059.7,Ontario
F,F 1056-1059.7,Ontario
F,F 1060-1060.97,Canadian Northwest. Northwest Territories
F,F 1060-1060.97,Canadian Northwest. Northwest Territories
F,F 1061-1065,Manitoba
F,F 1061-1065,Manitoba
F,F 1067,Assiniboia
F,F 1067,Assiniboia
F,F 1067,Assiniboia
F,F 1067,Assiniboia
F,F 1070-1074.7,Saskatchewan
F,F 1070-1074.7,Saskatchewan
F,F 1075-1080,Alberta
F,F 1075-1080,Alberta
F,F 1086-1089.7,British Columbia
F,F 1086-1089.7,British Columbia
F,F 1090,Rocky Mountains of Canada
F,F 1090,Rocky Mountains of Canada
F,F 1090.5,Arctic regions
F,F 1090.5,Arctic regions
F,F 1091-1095.5,Yukon
F,F 1091-1095.5,Yukon
F,F 1096-1100.5,Mackenzie
F,F 1096-1100.5,Mackenzie
F,F 1101-1105.7,Franklin
F,F 1101-1105.7,Franklin
F,F 1106-1110.5,Keewatin
F,F 1106-1110.5,Keewatin
F,F 1121-1139,Newfoundland
F,F 1121-1139,Newfoundland
F,F 1135-1139,Labrador
F,F 1135-1139,Labrador
F,F 1140,Labrador Peninsula
F,F 1140,Labrador Peninsula
F,F 1141-1145.2,Nunavut
F,F 1170,Saint Pierre and Miquelon
F,F 1170,Saint Pierre and Miquelon
F,F 1201-1392,Mexico
F,F 1201-1392,Mexico
F,F 1201-3799,Latin America. Spanish America
F,F 1201-3799,Latin America. Spanish America
F,F 1201-3799,Latin America. Spanish America
F,F 1201-3799,Latin America. Spanish America
F,F 1401-1419,Latin America (General)
F,F 1401-1419,Latin America (General)
F,F 1421-1440,Central America
F,F 1421-1440,Central America
F,F 1435-1435.3,Mayas
F,F 1435-1435.3,Mayas
F,F 1435-1435.3,Mayas
F,F 1435-1435.3,Mayas
F,F 1441+,British Honduras (Belize)
F,F 1441+,British Honduras (Belize)
F,F 1441-1457,Belize
F,F 1441-1457,Belize
F,F 1461-1477,Guatemala
F,F 1461-1477,Guatemala
F,F 1481-1497,Salvador (El Salvador)
F,F 1481-1497,Salvador (El Salvador)
F,F 1501-1517,Honduras
F,F 1501-1517,Honduras
F,F 1521-1537,Nicaragua
F,F 1521-1537,Nicaragua
F,F 1541-1557,Costa Rica
F,F 1541-1557,Costa Rica
F,F 1561-1577,Panama
F,F 1561-1577,Panama
F,F 1569.C2,Canal Zone. Panama Canal
F,F 1569.C2,Canal Zone. Panama Canal
F,F 1601-1629,West Indies
F,F 1601-1629,West Indies
F,F 1630+,Bermuda
F,F 1630+,Bermuda
F,F 1630-1640,Bermudas
F,F 1630-1640,Bermudas
F,F 1650+,Bahamas
F,F 1650+,Bahamas
F,F 1650-1660,Bahamas
F,F 1650-1660,Bahamas
F,F 1741-1991,Greater Antilles
F,F 1741-1991,Greater Antilles
F,F 1751-1854.9,Cuba
F,F 1751-1854.9,Cuba
F,F 1861-1896,Jamaica
F,F 1861-1896,Jamaica
F,F 1900-1941,Haiti (Island). Hispaniola
F,F 1900-1941,Haiti (Island). Hispaniola
F,F 1912-1930,Haiti (Republic)
F,F 1912-1930,Haiti (Republic)
F,F 1931-1941,Dominican Republic
F,F 1931-1941,Dominican Republic
F,F 1951-1983,Puerto Rico
F,F 1951-1983,Puerto Rico
F,F 1991,Navassa
F,F 1991,Navassa
F,F 2001-2152,Lesser Antilles
F,F 2001-2152,Lesser Antilles
F,F 2001-2152,Lesser Antilles
F,F 2001-2152,Lesser Antilles
F,F 2006,Leeward Islands
F,F 2006,Leeward Islands
F,F 2011,Windward Islands
F,F 2011,Windward Islands
F,F 2016,Islands along Venezuela coast
F,F 2016,Islands along Venezuela coast
F,F 2016,Islands along Venezuela coast
F,F 2016,Islands along Venezuela coast
F,F 2033-2129,Lesser Antilles. Caribbees
F,F 2033-2129,Lesser Antilles. Caribbees
F,F 2131+,British West Indies
F,F 2131+,British West Indies
F,F 2131-2133,British West Indies
F,F 2131-2133,British West Indies
F,F 2136,Virgin Islands of the United States
F,F 2136,Virgin Islands of the United States
F,F 2141,Netherlands West Indies. Dutch West Indies
F,F 2141,Dutch West Indies
F,F 2141,Netherlands West Indies. Dutch West Indies
F,F 2141,Dutch West Indies
F,F 2151,French West Indies
F,F 2151,French West Indies
F,F 2155-2191,Caribbean area. Caribbean Sea
F,F 2155-2191,Caribbean area. Caribbean Sea
F,F 2201-3799,South America
F,F 2201-3799,South America
F,F 2251-2299,Colombia
F,F 2251-2299,Colombia
F,F 2301-2349,Venezuela
F,F 2301-2349,Venezuela
F,F 2351,Guiana
F,F 2351,Guiana
F,F 2361+,British Guiana
F,F 2361+,British Guiana
F,F 2361-2391,Guyana. British Guiana
F,F 2401,Dutch Guinea
F,F 2401-2431,Surinam
F,F 2441+,French Guiana
F,F 2441-2471,French Guiana
F,F 2501-2659,Brazil
F,F 2529,French Colony in Brazil; 1555-1567
F,F 2532,Dutch Colony in Brazil; 1625-1661
F,F 2661-2699,Paraguay
F,F 2701-2799,Uruguay
F,F 2801-3021,Argentina
F,F 3031+,Falkland Islands
F,F 3031-3031.5,Falkland Islands
F,F 3051-3285,Chile
F,F 3301-3359,Bolivia
F,F 3401-3619,Peru
F,F 3701-3799,Ecuador
LCC,G,Geography (General)
G,GA,Mathematical geography. Cartography
G,GB,Physical geography
G,GC,Oceanography
G,GE,Environmental sciences
G,GF,Human ecology. Anthropogeography
G,GN,Anthropology
G,GR,Folklore
G,GT,Manners and customs (General)
G,GV,Recreation. Leisure
GV,GV 1019.2-1038.2,Motor sports
GV,GV 1040-1059,Cycling. Bicycling
