dcchild,dccaption
917.7 -917.709,North central United States; Lake states--description & travel
977 -977.03,North central United States; Lake states
917.72,Indiana--description & travel
977.2,Indiana
917.73,Illinois--description & travel
977.3,Illinois
917.7 -917.709,North central United States; Lake states--description & travel
977 -977.03,North central United States; Lake states
917.74,Michigan--description & travel
977.4,Michigan
917.75,Wisconsin--description & travel
977.5,Wisconsin
917.8 -917.809,Western United States--description & travel
978 -978.03,Western United States
917.8 -917.809,Western United States--description & travel
978 -978.03,Western United States
917.8 -917.809,Western United States--description & travel
978 -978.03,Western United States
917.76,Minnesota--description & travel
977.6,Minnesota
917.77,Iowa--description & travel
977.7,Iowa
917.84,North Dakota--description & travel
978.4,North Dakota
917.83,South Dakota--description & travel
978.3,South Dakota
917.82,Nebraska--description & travel
978.2,Nebraska
917.81,Kansas--description & travel
978.1,Kansas
917.66,Oklahoma--description & travel
976.6,Oklahoma
917.8 -917.809,Western United States--description & travel
917.8752,Yellowstone National Park--description & travel
978 -978.03,Western United States
978.752,Yellowstone National Park
917.86,Montana--description & travel
978.6,Montana
917.96,Idaho--description & travel
979.6,Idaho
917.87,Wyoming--description & travel
978.7,Wyoming
917.88,Colorado--description & travel
978.8,Colorado
917.9 -917.909,Great Basin and Pacific Slope region--description & travel
917.913,Colorado Plateau region--description & travel
979 -979.03,Great Basin and Pacific Slope region
979.13,Colorado Plateau region
917.89,New Mexico--description & travel
978.9,New Mexico
917.91,Arizona--description & travel
979.1,Arizona
917.92,Utah--description & travel
979.2,Utah
917.93,Nevada--description & travel
979.3,Nevada
917.9 - 917.909,Great Basin and Pacific Slope region--description & travel
979 - 979.03,Great Basin and Pacific Slope region
917.95 - 917.9509,Oregon--description & travel
979.5 - 979.504,Oregon
917.95 - 917.9509,Oregon--description & travel
917.97,Washington--description & travel
979.5 - 979.504,Oregon
979.7,Washington
917.94,California--description & travel
979.4,California
917.95,Oregon--description & travel
979.5,Oregon
917.97,Washington--description & travel
979.7,Washington
917.98,Alaska--description & travel
979.8,Alaska
917.984,Southwestern Alaska--description & travel
979.84,Southwestern Alaska
325.373,Colonization by the United States
325.373,Colonization by the United States
325.373,Colonization by the United States
917.1,Canada--description & travel
917.1,Canada--description & travel
971,Canada
971,Canada
971.01 -971.018,Early history to 1763
971.601 -971.604,Early history to 1763
917.15 -917.1509,Atlantic Provinces; Maritime Provinces--description & travel
971.5 -971.504,Atlantic Provinces; Maritime Provinces
917.16,Nova Scotia--description & travel
971.6,Nova Scotia
917.151 -917.155,New Brunswick--description & travel
971.51 -971.55,New Brunswick
917.17,Prince Edward Island--description & travel
971.7,Prince Edward Island
917.14 -917.1409,Quebec--description & travel
971.4 -971.404,Quebec
917.14,Quebec--description & travel
971.4,Quebec
917.13,Ontario--description & travel
971.3,Ontario
917.12 -917.1209,Western Canada--description & travel
971.2 -971.203,Western Canada
917.127,Manitoba--description & travel
971.27,Manitoba
917.12 -917.1209,Western Canada--description & travel
917.124 -917.12409,Saskatchewan--description & travel
971.2 -971.202,Western Canada
971.24 -971.2402,Saskatchewan
917.124,Saskatchewan--description & travel
971.24,Saskatchewan
917.123,Alberta--description & travel
971.23,Alberta
917.11,British Columbia--description & travel
971.1,British Columbia
917.11 -917.1109,Rocky Mountains--Canada--description & travel
971.1 -971.104,Rocky Mountains--Canada
917.19 -917.1909,Canadian Arctic--description & travel
971.9 -971.903,Canadian Arctic
917.191,Yukon Territory--description & travel
971.91,Yukon Territory
